transactionId,accountId,amount,currency,timestamp,merchant,location,channel
TXN1001,987654321,45000,INR,2025-06-18 02:58:00,AMAZON,Russia,Online
TXN1002,987654321,1200,INR,2025-06-18 10:22:15,D-MART,Pune,Card
TXN1003,123456789,99999,INR,2025-06-18 14:55:20,FLIPKART,Mumbai,UPI
TXN1004,123456789,5000,INR,2025-06-18 03:15:30,SHELL,USA,Online
TXN1005,567890123,200,INR,2025-06-18 23:50:05,ZOMATO,Delhi,UPI
TXN1006,567890123,3000,INR,2025-06-19 01:05:00,AMAZON,India,Online
TXN1007,222333444,70000,INR,2025-06-19 12:10:10,EXPENSIVE_STORE,USA,Card
TXN1008,222333444,50,INR,2025-06-19 12:11:00,COFFEE,India,Card
TXN1009,333444555,15000,INR,2025-06-19 02:02:00,TRAVEL,Turkey,Online
TXN1010,333444555,15000,INR,2025-06-19 02:02:20,TRAVEL,Turkey,Online
TXN1011,444555666,450,INR,2025-06-19 18:20:00,LOCAL_STORE,India,Card
TXN1012,444555666,500,INR,2025-06-19 18:21:00,LOCAL_STORE,India,Card
TXN1013,555666777,100000,INR,2025-06-19 03:00:00,LUXURY,France,Online
TXN1014,666777888,2500,INR,2025-06-19 04:30:00,GROCERY,India,UPI
TXN1015,777888999,120000,INR,2025-06-19 01:15:00,JEWELER,Nigeria,Online
TXN1016,888999000,600,INR,2025-06-19 23:50:00,FOOD,India,Card
TXN1017,888999000,600,INR,2025-06-19 23:50:25,FOOD,India,Card
TXN1018,999000111,35000,INR,2025-06-19 13:05:00,TOOLS,India,Card
TXN1019,999000111,90000,INR,2025-06-19 02:00:00,EXPENSIVE_ELECTRONICS,Russia,Online
TXN1020,123123123,75,INR,2025-06-19 11:11:11,COFFEE,India,Card
